"Organization","RSS Feed?","PRNewsWire?","Feed or Release URL",
"American Bankers Association","Y","N","http://www.aba.com/Rss/PressRssXml.aspx",
"American Bar Association","Y","N","http://www.abanow.org/category/releases/feed/rss/",
"American Cleaning Institute","Y","P","http://www.cleaninginstitute.org/rss/news.aspx",
"American Council of Life Insurers","Y","N","http://www.acli.com/tools/_layouts/acli/rss/newsreleaserss.aspx",
"American Institute of Certified Public Accountants","Y","N","http://feeds.feedburner.com/AICPA_PressCenter",
"Blue Cross and Blue Shield Association (BCBSA) - Association News","Y","P","http://feeds2.feedburner.com/BCBS-BCBSA-News",
"Blue Cross and Blue Shield Association (BCBSA) - Blue Company News","Y","P","http://feeds2.feedburner.com/BCBS-Blue-News",
"Blue Cross and Blue Shield Association (BCBSA) - Health & Wellness News","Y","P","http://feeds2.feedburner.com/BCBS-Health-and-Wellness-News",
"BoatU.S. (Boat Owners Association of The United States)","Y","N","http://www.boatus.com/pressroom/prrss.asp",
"Cellular Telecommunications and Internet Association (CTIA)","Y","Y","http://www.ctia.org/rss/index.cfm/rsstype/press",
"Childrens Advertising Review Unit","Y","N","http://www.asrcreviews.org/feed/",
"Consumer Electronics Association (CEA) - Accessories","Y","N","http://www.ce.org/News/RSS/Accessories.aspx",
"Consumer Electronics Association (CEA) - Association","Y","N","http://www.ce.org/News/RSS/Association.aspx",
"Consumer Electronics Association (CEA) - Audio","Y","N","http://www.ce.org/News/RSS/Audio.aspx",
"Consumer Electronics Association (CEA) - Automotive","Y","N","http://www.ce.org/News/RSS/Automotive.aspx",
"Consumer Electronics Association (CEA) - CES","Y","N","http://www.ce.org/News/RSS/CES.aspx",
"Consumer Electronics Association (CEA) - Digital Imaging","Y","N","http://www.ce.org/News/RSS/Digital-Imaging.aspx",
"Consumer Electronics Association (CEA) - Environment","Y","N","http://www.ce.org/News/RSS/Energy-Environmental-Policy.aspx",
"Consumer Electronics Association (CEA) - Events","Y","N","http://www.ce.org/News/RSS/Events.aspx",
"Consumer Electronics Association (CEA) - Industry/Product","Y","N","http://www.ce.org/News/RSS/Industry-Product.aspx",
"Consumer Electronics Association (CEA) - Market Research","Y","N","http://www.ce.org/News/RSS/Market-Research.aspx",
"Consumer Electronics Association (CEA) - Policy","Y","N","http://www.ce.org/News/RSS/Policy.aspx",
"Consumer Electronics Association (CEA) - Tech/Telecom Policy","Y","N","http://www.ce.org/News/RSS/Tech-Telecom-Policy.aspx",
"Consumer Electronics Association (CEA) - TechHome","Y","N","http://www.ce.org/News/RSS/TechHome.aspx",
"Consumer Electronics Association (CEA) - Technology & Standards","Y","N","http://www.ce.org/News/RSS/Technology-and-Standards.aspx",
"Consumer Electronics Association (CEA) - Video","Y","N","http://www.ce.org/News/RSS/Video.aspx",
"Consumer Electronics Association (CEA) - Wireless","Y","N","http://www.ce.org/News/RSS/Wireless.aspx",
"Direct Marketing Association (DMA)","Y","N","http://www.the-dma.org/cgi/rsspresslist.xml",
"Food Marketing Institute (FMI)","Y","N","http://feeds.feedburner.com/FMI-News",
"Grocery Manufacturers Association (GMA)","Y","N","http://feeds.feedburner.com/AcrossTheAisle",
"National Association of Home Builders","Y","N","http://www.nahb.org/rss/news_pressreleases.aspx?pid=0",
"National Association of Insurance Commissioners (NAIC)","Y","N","http://www.naic.org/press.xml",
"National Association of Professional Insurance Agents","Y","Y","http://www.pianet.com/front-page-news/RSS",
"National Association of Realtors (NAR)","Y","N","http://feeds.feedburner.com/RealtororgPressRoomHeadlines","RSS look broken: http://www.realtor.org/news-releases"
"National Foundation for Credit Counseling (NFCC)","Y","N","http://feeds.feedburner.com/NationalFoundationForCreditCounselingNews?format=xml",
"National Funeral Directors Association (NFDA)","Y","N","http://www.nfda.org/index.php/component/ninjarsssyndicator/?feed_id=2&format=raw",
"National Futures Association (NFA)","Y","N","http://www.nfa.futures.org/rss/newsReleasesRSS.xml",
"North American Securities Administrators Association, Inc.","Y","N","http://feeds.feedburner.com/nasaa/rss-feed?format=xml",
"Toy Industry Association, Inc.","Y","N","http://www.toyassociation.org/scriptcontent/RSSFeeds/RSSSample.xml?CFID=4503033&CFTOKEN=49693204",
